"","AEW541","Nilotinib","X17.AAG","PHA.665752","Lapatinib","Nutlin.3","AZD0530","PF2341066","L.685458","ZD.6474","Panobinostat","Sorafenib","Irinotecan","Topotecan","LBW242","PD.0325901","PD.0332991","Paclitaxel","AZD6244","PLX4720","RAF265","TAE684","TKI258","Erlotinib"
"HSC2",0.1172,0.2326,3.1995,0.2599,0.5269,0.3311,0.7791,0.03532,0.1213,1.682,3.2598,1.0356,3.5079,3.8791,0.2136,0.2316,0,4.6615,0.0567,0.2626,0.6273,0.1918,0.5043,0.6125
"SNGM",0.497,0.3269,3.6265,0.6993,0.5455,0.4692,1.0556,0.2154,0.8261,1.8526,3.9169,0.4755,2.0173,2.5829,0.4892,1.1151,0.1502,5.7321,1.1646,0.2797,2.4101,0.5714,0.8186,0.7714
"DBTRG05MG",0.868,0.3488,2.7457,1.0773,0.2992,0.8056,1.475,0.468,0,0.6038,3.7393,0.7186,3.4461,3.2015,0.4507,2.9241,0.3863,5.3756,3.1418,1.8659,2.5702,1.4749,0.6195,0.3955
"MDAMB436",1.1129,0.2853,2.2556,0.2029,0.2457,0.9866,0.6943,0.8252,0.06644,0.4278,3.1806,0.2087,NA,2.5255,0.5103,0.8916,0.4081,4.6231,0.8398,0.07696,1.4521,1.8553,0.8019,0.4275
"RL952",1.2066,0.479,3.2136,0,1.3016,0.6145,1.6957,0.8308,0.3091,1.5608,4.9122,0.1355,2.1034,1.9966,0.1315,3.5574,0.5663,6.095,2.7961,0.228,2.0185,1.0425,1.3047,1.5385
"NCIH2087",0.7475,0.8483,3.0497,0.3437,0.3981,0.4068,0.7401,0.423,0.2508,0.8015,3.572,1.0198,NA,4.0293,0.1451,4.1166,0.6578,5.5116,3.0122,0.7931,1.5063,1.1913,0.9215,0.4709
"JM1",0.2846,0.6152,2.0988,0.04249,0.143,0.3451,0.05758,0,0.5253,0.4424,5.2913,0.2965,NA,3.6682,0.1574,0.2912,0.6972,6.1963,0.1883,0,0.5594,0,0.2027,0.7337
"MSTO211H",0.5041,0.5277,3.6676,0.3346,0.3716,1.0383,0.7174,0.8487,0.08544,1.103,4.4962,0.7464,NA,3.1705,0.8363,2.492,0.7796,5.3017,1.2301,0.8892,2.1076,1.6265,1.7164,0.3184
"SJSA1",1.5288,NA,3.2033,0.5401,0.3625,1.339,1.3996,0.6386,0.2222,0.984,4.1913,0.9267,NA,3.5615,0.6123,1.746,0.6593,5.3659,0.833,0,1.1671,1.2566,0.5718,0.4775
"DOV13",1.0079,0.5616,3.1509,0.2417,0.4274,0.2686,0.1621,0.4143,0.11,0.5986,4.181,1.3888,3.6086,3.1857,0.5408,0.03367,0.02824,5.4254,0.2239,0.4118,1.9122,0.856,0.9813,0.04386
"OVTOKO",0.508,0.1559,2.0471,0.2041,0.8776,0.5722,1.9162,0.3415,0.301,NA,4.7984,0.7373,2.6997,3.5208,0.1956,0.5565,0.1509,2.0493,0.3445,NA,2.134,0.7926,0.6268,0.8693
"U2OS",1.5148,0.6846,4.6678,0.2498,0.7341,1.0122,1.3457,1.0034,1.163,2.1597,5.1185,0.5541,2.6425,2.6347,0.3309,1.683,0.3956,5.1548,1.2003,0.6723,1.249,1.324,0.8411,0.4888
"NCIH2122",1.71,0.5732,4.996,0.7922,1.0545,0.3708,0.8178,0.618,0.3496,0.8166,4.8641,0.4757,3.6813,4.4313,0.9173,4.4466,1.274,6.6492,3.0327,0.8008,2.0903,1.8716,1.0366,0.8959
"MFE296",0.9253,NA,2.9064,0.453,0.4447,0.4547,1.1319,0.5073,0.4872,1.5118,3.909,0.583,NA,4.5965,1.0266,0.6229,NA,5.9629,0.314,0.3759,1.9443,0.7959,1.3124,0.6176
"NCIH226",0.6322,0,2.0162,0,0,0.1363,0.2167,0.1941,0,0.2921,2.8671,0.5957,NA,2.248,0.04654,1.589,0.2601,3.207,0.3049,0,1.3318,0.7534,0.8242,0
"SU8686",0.7582,NA,2.4711,0.2854,0.09048,0.148,0.3333,0.2915,0.01013,0.5285,3.8365,0.2178,NA,3.0704,0.9071,0.7627,0,4.1376,0.616,0.2061,1.1501,0.2885,0.1613,0.1866
"SW1271",1.2973,0.6314,2.6201,0.8502,0.1266,0.7121,1.3076,0.7189,0.07391,0.9662,3.5354,0.3072,3.0324,3.209,1.2443,2.2362,0.2713,4.1891,1.669,0.5061,1.3744,0.818,0.1423,0.08464
